2047.2746    1978.1569    1909.9214    1842.5681    1776.0971    1710.5083    1645.8019    1581.9777    1519.0358    1456.9763    1395.7991    1335.5043    1276.0918    1217.5616    1159.9138    1103.1484    1047.2654    992.2647    938.1464    884.9105    832.5570    781.0859    730.4972    680.7909    631.9669    584.0254    536.9662    490.7895    445.4951    401.0831    357.5535    314.9064    273.1416    232.2592    
2044.0378    1974.9201    1906.6846    1839.3313    1772.8604    1707.2717    1642.5653    1578.7412    1515.7994    1453.7400    1392.5629    1332.2681    1272.8556    1214.3255    1156.6778    1099.9125    1044.0295    989.0289    934.9106    881.6748    829.3213    777.8502    727.2615    677.5552    628.7313    580.7898    533.7306    487.5539    442.2595    397.8476    354.3180    311.6708    269.9060    229.0236    
2039.9187    1970.8010    1902.5655    1835.2124    1768.7414    1703.1528    1638.4465    1574.6225    1511.6807    1449.6213    1388.4443    1328.1496    1268.7372    1210.2072    1152.5595    1095.7942    1039.9112    984.9107    930.7925    877.5567    825.2032    773.7322    723.1435    673.4372    624.6133    576.6718    529.6127    483.4360    438.1416    393.7297    350.2001    307.5529    265.7881    224.9058    
2034.9175    1965.7997    1897.5643    1830.2111    1763.7403    1698.1517    1633.4454    1569.6214    1506.6798    1444.6204    1383.4434    1323.1487    1263.7364    1205.2065    1147.5588    1090.7936    1034.9107    979.9102    925.7920    872.5562    820.2028    768.7318    718.1431    668.4369    619.6130    571.6715    524.6124    478.4357    433.1414    388.7294    345.1999    302.5527    260.7879    219.9055    
2029.0339    1959.9162    1891.6808    1824.3276    1757.8568    1692.2683    1627.5620    1563.7381    1500.7965    1438.7372    1377.5602    1317.2656    1257.8534    1199.3234    1141.6759    1084.9106    1029.0278    974.0273    919.9092    866.6734    814.3201    762.8491    712.2604    662.5542    613.7303    565.7889    518.7298    472.5531    427.2587    382.8468    339.3173    296.6701    254.9053    214.0229    
2022.2681    1953.1504    1884.9150    1817.5619    1751.0911    1685.5026    1620.7964    1556.9725    1494.0309    1431.9717    1370.7948    1310.5002    1251.0880    1192.5581    1134.9105    1078.1454    1022.2626    967.2621    913.1440    859.9083    807.5549    756.0840    705.4954    655.7892    606.9653    559.0239    511.9648    465.7881    420.4938    376.0819    332.5523    289.9052    248.1404    207.2580    
2014.6201    1945.5024    1877.2670    1809.9139    1743.4431    1677.8546    1613.1485    1549.3246    1486.3831    1424.3239    1363.1470    1302.8525    1243.4403    1184.9104    1127.2629    1070.4978    1014.6150    959.6146    905.4965    852.2608    799.9075    748.4366    697.8480    648.1418    599.3180    551.3765    504.3175    458.1408    412.8465    368.4346    324.9050    282.2579    240.4931    199.6107    
2006.0898    1936.9721    1868.7367    1801.3836    1734.9129    1669.3244    1604.6183    1540.7944    1477.8529    1415.7938    1354.6169    1294.3224    1234.9103    1176.3805    1118.7330    1061.9679    1006.0851    951.0847    896.9667    843.7310    791.3777    739.9068    689.3183    639.6121    590.7883    542.8468    495.7878    449.6111    404.3168    359.9049    316.3754    273.7282    231.9635    191.0811    
1996.6772    1927.5595    1859.3241    1791.9711    1725.5003    1659.9119    1595.2058    1531.3820    1468.4405    1406.3814    1345.2045    1284.9101    1225.4980    1166.9682    1109.3207    1052.5557    996.6729    941.6726    887.5546    834.3189    781.9656    730.4947    679.9062    630.2000    581.3762    533.4348    486.3758    440.1991    394.9048    350.4929    306.9634    264.3163    222.5515    181.6691    
1986.3824    1917.2647    1849.0293    1781.6763    1715.2055    1649.6171    1584.9110    1521.0872    1458.1458    1396.0867    1334.9099    1274.6154    1215.2033    1156.6736    1099.0262    1042.2611    986.3784    931.3781    877.2601    824.0245    771.6712    720.2003    669.6118    619.9056    571.0819    523.1405    476.0814    429.9048    384.6105    340.1986    296.6691    254.0220    212.2572    171.3748    
1975.2052    1906.0876    1837.8522    1770.4991    1704.0284    1638.4400    1573.7339    1509.9102    1446.9687    1384.9097    1323.7329    1263.4385    1204.0264    1145.4967    1087.8493    1031.0842    975.2016    920.2012    866.0833    812.8477    760.4944    709.0236    658.4351    608.7289    559.9052    511.9638    464.9048    418.7281    373.4338    329.0220    285.4924    242.8453    201.0806    160.1982    
1963.1458    1894.0282    1825.7928    1758.4398    1691.9690    1626.3806    1561.6746    1497.8508    1434.9094    1372.8504    1311.6736    1251.3792    1191.9672    1133.4374    1075.7901    1019.0251    963.1424    908.1421    854.0242    800.7886    748.4354    696.9645    646.3760    596.6699    547.8461    499.9047    452.8457    406.6691    361.3748    316.9630    273.4335    230.7863    189.0216    148.1392    
1950.2042    1881.0865    1812.8511    1745.4981    1679.0274    1613.4390    1548.7329    1484.9092    1421.9678    1359.9088    1298.7320    1238.4377    1179.0256    1120.4959    1062.8486    1006.0836    950.2009    895.2006    841.0827    787.8471    735.4939    684.0231    633.4346    583.7285    534.9048    486.9634    439.9044    393.7278    348.4335    304.0216    260.4921    217.8450    176.0802    135.1979    
1936.3802    1867.2625    1799.0272    1731.6741    1665.2034    1599.6151    1534.9090    1471.0853    1408.1439    1346.0849    1284.9082    1224.6138    1165.2018    1106.6721    1049.0248    992.2598    936.3771    881.3769    827.2589    774.0234    721.6702    670.1994    619.6109    569.9048    521.0811    473.1397    426.0807    379.9041    334.6098    290.1980    246.6685    204.0213    162.2566    121.3742    
1921.6739    1852.5562    1784.3209    1716.9679    1650.4972    1584.9088    1520.2028    1456.3791    1393.4377    1331.3787    1270.2020    1209.9076    1150.4956    1091.9659    1034.3186    977.5536    921.6710    866.6708    812.5529    759.3173    706.9641    655.4933    604.9048    555.1988    506.3750    458.4337    411.3747    365.1981    319.9038    275.4919    231.9625    189.3153    147.5506    106.6682    
1906.0854    1836.9677    1768.7324    1701.3793    1634.9086    1569.3203    1504.6143    1440.7906    1377.8492    1315.7902    1254.6135    1194.3191    1134.9071    1076.3775    1018.7302    961.9652    906.0826    851.0824    796.9645    743.7289    691.3757    639.9049    589.3165    539.6104    490.7867    442.8453    395.7863    349.6097    304.3155    259.9036    216.3741    173.7270    131.9622    91.0799    
1889.6145    1820.4969    1752.2615    1684.9085    1618.4378    1552.8495    1488.1434    1424.3198    1361.3784    1299.3194    1238.1427    1177.8484    1118.4364    1059.9067    1002.2594    945.4945    889.6119    834.6116    780.4937    727.2582    674.9050    623.4342    572.8458    523.1397    474.3160    426.3746    379.3157    333.1390    287.8448    243.4329    199.9034    157.2563    115.4916    74.6092    
1872.2614    1803.1437    1734.9084    1667.5554    1601.0847    1535.4964    1470.7903    1406.9666    1344.0253    1281.9663    1220.7896    1160.4953    1101.0833    1042.5536    984.9064    928.1414    872.2588    817.2586    763.1407    709.9052    657.5520    606.0812    555.4927    505.7867    456.9630    409.0216    361.9626    315.7860    270.4918    226.0799    182.5504    139.9033    98.1386    57.2562    
1854.0260    1784.9083    1716.6730    1649.3200    1582.8493    1517.2609    1452.5549    1388.7312    1325.7899    1263.7309    1202.5542    1142.2599    1082.8479    1024.3183    966.6710    909.9060    854.0234    799.0232    744.9053    691.6698    639.3166    587.8458    537.2574    487.5513    438.7276    390.7863    343.7273    297.5507    252.2565    207.8446    164.3151    121.6680    79.9032    39.0209    
1834.9083    1765.7906    1697.5553    1630.2023    1563.7316    1498.1432    1433.4372    1369.6135    1306.6722    1244.6132    1183.4365    1123.1422    1063.7302    1005.2006    947.5533    890.7883    834.9058    779.9055    725.7876    672.5521    620.1990    568.7282    518.1397    468.4336    419.6099    371.6686    324.6096    278.4330    233.1388    188.7269    145.1974    102.5503    60.7856    19.9032    
