-2.094395    2.193245    2.193245    19.739209    19.739209    54.831136    54.831136    107.469026    107.469026    177.652879    177.652879    265.382696    265.382696    370.658476    370.658476    493.480220    493.480220    633.847927    633.847927    791.761598    791.761598    967.221231    967.221231    1160.226828    1160.226828    1370.778389    1370.778389    1598.875913    1598.875913    1844.519400    1844.519400    2107.708851    2107.708851    2388.444265    2388.444265    2686.725643    2686.725643    3002.552983    3002.552983    3335.926288    3335.926288    3686.845555    3686.845555    4055.310786    4055.310786    4441.321980    4441.321980    4844.879138    4844.879138    5265.982259    5265.982259    5704.631344    5704.631344    6160.826392    6160.826392    6634.567403    6634.567403    7125.854378    7125.854378    7634.687316    7634.687316    8161.066217    
-2.083923    2.171368    2.215233    19.673466    19.805061    54.721528    54.940853    107.315553    107.622608    177.455542    177.850326    265.141494    265.624008    370.373409    370.943653    493.151288    493.809262    633.475130    634.220834    791.344936    792.178369    966.760705    967.681868    1159.722437    1160.731330    1370.230133    1371.326755    1598.283792    1599.468144    1843.883414    1845.155496    2107.029000    2108.388812    2387.720549    2389.168091    2685.958061    2687.493333    3001.741537    3003.364539    3335.070977    3336.781708    3685.946379    3687.744841    4054.367745    4056.253936    4440.335075    4442.308996    4843.848368    4845.910018    5264.907624    5267.057004    5703.512843    5705.749954    6159.664026    6161.988867    6633.361173    6635.773743    7124.604283    7127.104582    7633.393356    7635.981385    8159.728392    
-2.073451    2.149600    2.237330    19.607833    19.871023    54.612030    55.050679    107.162191    107.776299    177.258314    178.047883    264.900401    265.865429    370.088452    371.228940    492.822466    494.138413    633.102443    634.593850    790.928384    792.595250    966.300288    968.142614    1159.218155    1161.235941    1369.681986    1371.875231    1597.691780    1600.060485    1843.247537    1845.791702    2106.349258    2109.068882    2386.996942    2389.892026    2685.190590    2688.261134    3000.930201    3004.176204    3334.215775    3337.637238    3685.047313    3688.644236    4053.424814    4057.197197    4439.348279    4443.296121    4842.817707    4846.941008    5263.833098    5268.131859    5702.394453    5706.868673    6158.501771    6163.151451    6632.155052    6636.980192    7123.354297    7128.354897    7632.099505    7637.275565    8158.390677    
-2.062979    2.127942    2.259536    19.542310    19.937094    54.502642    55.160616    107.008938    107.930101    177.061196    178.245549    264.659419    266.106961    369.803604    371.514336    492.493753    494.467674    632.729865    634.966976    790.511941    793.012241    965.839980    968.603469    1158.713983    1161.740661    1369.133948    1372.423817    1597.099878    1600.652935    1842.611770    1846.428017    2105.669626    2109.749063    2386.273446    2390.616072    2684.423228    2689.029044    3000.118974    3004.987979    3333.360684    3338.492878    3684.148357    3689.543741    4052.481993    4058.140566    4438.361593    4444.283355    4841.787156    4847.972108    5262.758682    5269.206824    5701.276172    5707.987503    6157.339625    6164.314145    6630.949041    6638.186751    7122.104421    7129.605321    7630.805765    7638.569853    8157.053071    
-2.052507    2.106393    2.281853    19.476897    20.003276    54.393364    55.270662    106.855794    108.084012    176.864188    178.443325    264.418545    266.348601    369.518866    371.799841    492.165150    494.797045    632.357398    635.340211    790.095608    793.429341    965.379782    969.064435    1158.209920    1162.245492    1368.586021    1372.972512    1596.508085    1601.245495    1841.976113    1847.064442    2104.990104    2110.429353    2385.550058    2391.340226    2683.655976    2689.797063    2999.307857    3005.799864    3332.505702    3339.348628    3683.249510    3690.443355    4051.539281    4059.084046    4437.375016    4445.270700    4840.756714    4849.003317    5261.684376    5270.281898    5700.158000    5709.106442    6156.177589    6165.476949    6629.743140    6639.393420    7120.854655    7130.855854    7629.512134    7639.864252    8155.715575    
-2.042035    2.084954    2.304278    19.411593    20.069566    54.284195    55.380818    106.702761    108.238032    176.667290    178.641210    264.177782    266.590352    369.234238    372.085457    491.836657    495.126525    631.985039    635.713556    789.679385    793.846551    964.919694    969.525510    1157.705967    1162.750431    1368.038203    1373.521317    1595.916402    1601.838165    1841.340565    1847.700977    2104.310691    2111.109752    2384.826781    2392.064491    2682.888834    2690.565193    2998.496850    3006.611858    3331.650830    3340.204487    3682.350773    3691.343079    4050.596679    4060.027635    4436.388549    4446.258153    4839.726382    4850.034636    5260.610179    5271.357081    5699.039939    5710.225490    6155.015662    6166.639863    6628.537349    6640.600199    7119.604999    7132.106498    7628.218612    7641.158760    8154.378189    
-2.031563    2.063625    2.326814    19.346399    20.135967    54.175136    55.491083    106.549837    108.392163    176.470501    178.839206    263.937128    266.832212    368.949719    372.371182    491.508273    495.456115    631.612791    636.087011    789.263272    794.263871    964.459716    969.986694    1157.202124    1163.255481    1367.490495    1374.070231    1595.324829    1602.430944    1840.705127    1848.337621    2103.631388    2111.790261    2384.103613    2392.788865    2682.121801    2691.333432    2997.685952    3007.423962    3330.796067    3341.060456    3681.452145    3692.242913    4049.654187    4060.971333    4435.402192    4447.245717    4838.696160    4851.066064    5259.536092    5272.432375    5697.921987    5711.344649    6153.853845    6167.802886    6627.331667    6641.807087    7118.355452    7133.357251    7626.925201    7642.453378    8153.040913    
-2.021091    2.042405    2.349459    19.281314    20.202477    54.066186    55.601458    106.397022    108.546403    176.273821    179.037311    263.696584    267.074182    368.665310    372.657016    491.179999    495.785814    631.240652    636.460576    788.847268    794.681301    963.999847    970.447989    1156.698390    1163.760640    1366.942896    1374.619255    1594.733366    1603.023834    1840.069799    1848.974375    2102.952195    2112.470880    2383.380555    2393.513349    2681.354878    2692.101781    2996.875164    3008.236176    3329.941414    3341.916534    3680.553628    3693.142856    4048.711804    4061.915142    4434.415944    4448.233390    4837.666048    4852.097602    5258.462114    5273.507778    5696.804144    5712.463917    6152.692138    6168.966019    6626.126095    6643.014085    7117.106015    7134.608114    7625.631899    7643.748106    8151.703746    
-2.010619    2.021295    2.372214    19.216339    20.269097    53.957347    55.711943    106.244317    108.700752    176.077252    179.235525    263.456149    267.316261    368.381010    372.942961    490.851835    496.115624    630.868623    636.834250    788.431374    795.098840    963.540088    970.909393    1156.194766    1164.265909    1366.395407    1375.168389    1594.142012    1603.616832    1839.434580    1849.611239    2102.273112    2113.151609    2382.657606    2394.237942    2680.588065    2692.870239    2996.064486    3009.048499    3329.086871    3342.772722    3679.655219    3694.042909    4047.769531    4062.859060    4433.429806    4449.221173    4836.636045    4853.129250    5257.388246    5274.583291    5695.686412    5713.583294    6151.530540    6170.129261    6624.920632    6644.221192    7115.856688    7135.859086    7624.338706    7645.042943    8150.366689    
-2.000147    2.000295    2.395079    19.151474    20.335826    53.848616    55.822537    106.091722    108.855212    175.880792    179.433849    263.215824    267.558450    368.096821    373.229015    490.523780    496.445543    630.496703    637.208034    788.015589    795.516489    963.080439    971.370906    1155.691252    1164.771288    1365.848028    1375.717633    1593.550768    1604.209941    1838.799471    1850.248212    2101.594138    2113.832447    2381.934767    2394.962645    2679.821361    2693.638807    2995.253917    3009.860932    3328.232437    3343.629020    3678.756921    3694.943072    4046.827368    4063.803087    4432.443778    4450.209066    4835.606151    4854.161008    5256.314488    5275.658913    5694.568789    5714.702782    6150.369052    6171.292614    6623.715279    6645.428409    7114.607470    7137.110168    7623.045624    7646.337890    8149.029741    
