-0.831540    1.046666    1.119482
-0.658307    -2.757096    0.309350
-0.612327    0.244112    -1.530651
-0.758310    -0.087424    1.464606
1.139624    -0.560739    -0.564863
-0.569145    -0.790658    0.268329
0.257204    1.351360    1.216930
-0.307963    0.112511    -1.060827
-2.109635    1.577863    1.428622
-0.129536    0.303270    0.263969
2.287126    -0.703298    -0.397874
0.260243    -1.637763    -0.488199
-0.724742    1.691347    0.418748
-0.129382    -2.686427    -0.938065
0.383614    0.996088    -0.026492
-0.568662    -0.450298    -1.827546
-2.142180    -0.513123    -1.470784
-1.282371    -0.724123    -0.618392
0.125539    -0.333386    -1.206239
1.706969    0.236942    -0.790097
-1.096440    1.138560    -0.114608
1.237735    0.810263    -2.609087
-0.461118    0.686642    1.390100
-0.533507    -0.286819    -1.221215
0.516132    -2.592965    -0.187799
1.182251    -0.902872    1.146189
0.143093    -1.980811    1.089087
1.352518    0.715632    -0.868386
-0.311346    0.782930    -0.689558
0.808909    -0.622851    -1.605693
-0.203386    -1.001634    -0.411729
-0.208435    -2.473767    -1.256498
-2.380466    0.496942    1.450953
-0.559763    0.089444    -2.451181
0.268679    0.361529    -0.686600
-1.612568    -1.515919    2.164816
-0.379763    1.120692    -0.549191
-0.129002    -0.155228    -0.668992
0.789359    1.472412    1.479539
0.283402    -0.802573    0.470542
-0.224490    1.784455    1.637042
-0.301422    -0.517369    -0.580881
-0.480908    -0.744342    -1.368851
0.339485    -0.369577    -0.695212
0.729556    -2.072865    0.652055
1.030170    0.133242    -3.312867
-0.280029    0.172953    2.542700
0.980172    -2.007441    0.277837
0.113008    -0.094843    -0.103614
-1.744818    0.029719    0.435147
-1.927947    0.686853    0.750617
-2.181102    -1.039013    -0.373365
-1.213036    -0.398609    1.455077
-1.320916    -1.492815    -0.581077
1.918015    -0.303885    0.432007
0.371201    1.188377    -1.145203
1.355276    0.286553    0.346077
-0.677731    0.195037    -0.107568
-1.204199    0.804967    -0.312388
0.858462    -1.948557    0.802470
-0.163997    0.288461    1.055374
0.354553    -0.204628    -0.544228
-1.879523    -0.958994    -0.132081
-0.634485    1.003829    0.642796
0.589305    0.536591    0.498757
1.578609    -1.277041    -1.391712
-1.021192    -0.278081    0.024153
0.268554    -0.840909    -0.790837
-1.075619    1.762617    -0.856047
-1.047527    0.091974    1.904973
0.069914    -0.133776    -0.960295
-2.490398    0.802043    0.463283
0.692136    -2.336280    -0.027993
-0.706733    0.160024    -1.480847
0.621760    -2.210911    1.521784
-1.892577    1.126063    0.126915
-0.119152    0.423097    1.034562
-0.839574    0.625311    -0.267377
-0.095037    -2.093163    -0.782785
-0.393117    -0.815750    0.231422
-1.847078    1.935554    -0.387509
1.472294    -0.753367    -0.036621
0.160344    -0.037120    0.867718
0.013755    0.720984    -0.870911
-0.041668    0.674873    0.207986
0.951943    2.207350    -1.465500
2.052279    0.175116    1.153030
-0.463184    0.646975    1.535786
1.378112    -0.980397    -0.187407
0.710388    0.940051    -0.327346
2.134811    0.614124    -3.077662
-0.381577    0.210900    -0.271884
-0.989588    -1.418092    0.698360
-1.947076    1.056688    0.727294
0.989398    -1.003328    -0.163104
0.368329    -0.056559    1.101731
0.260245    0.813154    -0.247707
-2.665898    0.161498    0.015476
-1.339331    -1.199972    -1.404513
0.736986    -1.644727    1.273229
-2.362466    1.229656    0.668050
0.112303    -1.407758    -0.747716
0.211500    0.832030    0.147127
-0.987659    2.323921    0.991426
0.920581    2.609797    -1.029505
1.225981    0.949828    2.225732
-0.916220    1.006466    0.034605
-1.157987    0.289523    0.852815
